fpr,tpr
0.0,0.0
0.0,0.0022624434389140274
0.0,0.06108597285067873
0.002183406113537118,0.06108597285067873
0.002183406113537118,0.07692307692307693
0.004366812227074236,0.07692307692307693
0.004366812227074236,0.09502262443438914
0.006550218340611353,0.09502262443438914
0.006550218340611353,0.11312217194570136
0.008733624454148471,0.11312217194570136
0.008733624454148471,0.13800904977375567
0.010917030567685589,0.13800904977375567
0.010917030567685589,0.1425339366515837
0.013100436681222707,0.1425339366515837
0.013100436681222707,0.16063348416289594
0.015283842794759825,0.16063348416289594
0.015283842794759825,0.18099547511312217
0.017467248908296942,0.18099547511312217
0.017467248908296942,0.18552036199095023
0.024017467248908297,0.18552036199095023
0.024017467248908297,0.19004524886877827
0.026200873362445413,0.19004524886877827
0.026200873362445413,0.19909502262443438
0.028384279475982533,0.19909502262443438
0.028384279475982533,0.20135746606334842
0.03056768558951965,0.20135746606334842
0.03056768558951965,0.2149321266968326
0.03275109170305677,0.2149321266968326
0.03275109170305677,0.22171945701357465
0.03711790393013101,0.22171945701357465
0.03711790393013101,0.2239819004524887
0.039301310043668124,0.2239819004524887
0.039301310043668124,0.2330316742081448
0.04585152838427948,0.2330316742081448
0.04585152838427948,0.23529411764705882
0.05021834061135371,0.23529411764705882
0.05021834061135371,0.23755656108597284
0.05240174672489083,0.23755656108597284
0.05240174672489083,0.2420814479638009
0.056768558951965066,0.2420814479638009
0.056768558951965066,0.24434389140271492
0.05895196506550218,0.24434389140271492
0.05895196506550218,0.24660633484162897
0.0611353711790393,0.24660633484162897
0.0611353711790393,0.251131221719457
0.06331877729257641,0.251131221719457
0.06331877729257641,0.25565610859728505
0.07205240174672489,0.25565610859728505
0.07205240174672489,0.2579185520361991
0.07423580786026202,0.2579185520361991
0.07423580786026202,0.2669683257918552
0.08296943231441048,0.2669683257918552
0.08296943231441048,0.27149321266968324
0.0851528384279476,0.27149321266968324
0.0851528384279476,0.27828054298642535
0.08733624454148471,0.27828054298642535
0.08733624454148471,0.2850678733031674
0.08951965065502183,0.2850678733031674
0.08951965065502183,0.2873303167420814
0.09170305676855896,0.2873303167420814
0.09170305676855896,0.2895927601809955
0.09388646288209607,0.2895927601809955
0.09388646288209607,0.29638009049773756
0.09606986899563319,0.29638009049773756
0.09606986899563319,0.2986425339366516
0.0982532751091703,0.2986425339366516
0.0982532751091703,0.3031674208144796
0.11135371179039301,0.3031674208144796
0.11135371179039301,0.3167420814479638
0.11572052401746726,0.3167420814479638
0.11572052401746726,0.3190045248868778
0.1222707423580786,0.3190045248868778
0.1222707423580786,0.3235294117647059
0.12882096069868995,0.3235294117647059
0.12882096069868995,0.3257918552036199
0.13100436681222707,0.3257918552036199
0.13100436681222707,0.32805429864253394
0.1331877729257642,0.32805429864253394
0.1331877729257642,0.332579185520362
0.13537117903930132,0.332579185520362
0.13537117903930132,0.33710407239819007
0.13755458515283842,0.33710407239819007
0.13755458515283842,0.3438914027149321
0.14410480349344978,0.3438914027149321
0.14410480349344978,0.34615384615384615
0.1462882096069869,0.34615384615384615
0.1462882096069869,0.3506787330316742
0.15065502183406113,0.3506787330316742
0.15065502183406113,0.35294117647058826
0.16375545851528384,0.35294117647058826
0.16375545851528384,0.3552036199095023
0.16593886462882096,0.3552036199095023
0.16593886462882096,0.3665158371040724
