fpr,tpr
0.0,0.0
0.0,0.0022624434389140274
0.0,0.04524886877828054
0.0,0.049773755656108594
0.0,0.08144796380090498
0.0,0.08597285067873303
0.0,0.12669683257918551
0.0,0.13122171945701358
0.002183406113537118,0.13122171945701358
0.002183406113537118,0.13574660633484162
0.002183406113537118,0.1425339366515837
0.002183406113537118,0.14479638009049775
0.002183406113537118,0.1493212669683258
0.002183406113537118,0.1583710407239819
0.002183406113537118,0.16289592760180996
0.002183406113537118,0.18778280542986425
0.002183406113537118,0.19230769230769232
0.002183406113537118,0.19683257918552036
0.002183406113537118,0.20135746606334842
0.002183406113537118,0.22850678733031674
0.002183406113537118,0.2330316742081448
0.002183406113537118,0.23529411764705882
0.002183406113537118,0.24434389140271492
0.002183406113537118,0.248868778280543
0.002183406113537118,0.25339366515837103
0.002183406113537118,0.26244343891402716
0.002183406113537118,0.27149321266968324
0.002183406113537118,0.27828054298642535
0.002183406113537118,0.2850678733031674
0.002183406113537118,0.2895927601809955
0.002183406113537118,0.2918552036199095
0.002183406113537118,0.29638009049773756
0.002183406113537118,0.2986425339366516
0.002183406113537118,0.3031674208144796
0.002183406113537118,0.3212669683257919
0.002183406113537118,0.3257918552036199
0.002183406113537118,0.32805429864253394
0.002183406113537118,0.332579185520362
0.002183406113537118,0.33710407239819007
0.002183406113537118,0.3416289592760181
0.004366812227074236,0.3438914027149321
0.004366812227074236,0.3506787330316742
0.004366812227074236,0.3552036199095023
0.004366812227074236,0.36425339366515835
0.004366812227074236,0.36877828054298645
0.004366812227074236,0.37104072398190047
0.004366812227074236,0.3755656108597285
0.004366812227074236,0.38009049773755654
0.006550218340611353,0.38009049773755654
0.006550218340611353,0.3891402714932127
0.006550218340611353,0.39592760180995473
0.008733624454148471,0.39592760180995473
0.008733624454148471,0.39819004524886875
0.008733624454148471,0.4072398190045249
0.008733624454148471,0.4117647058823529
0.008733624454148471,0.416289592760181
0.008733624454148471,0.4230769230769231
0.008733624454148471,0.4276018099547511
0.008733624454148471,0.4298642533936652
0.008733624454148471,0.43665158371040724
0.008733624454148471,0.4638009049773756
0.008733624454148471,0.47058823529411764
0.008733624454148471,0.47285067873303166
0.010917030567685589,0.47285067873303166
0.010917030567685589,0.4751131221719457
0.013100436681222707,0.4751131221719457
0.013100436681222707,0.48642533936651583
0.013100436681222707,0.49547511312217196
0.013100436681222707,0.497737556561086
0.013100436681222707,0.502262443438914
0.013100436681222707,0.504524886877828
0.013100436681222707,0.5090497737556561
0.015283842794759825,0.5090497737556561
0.015283842794759825,0.5135746606334841
0.015283842794759825,0.5158371040723982
0.017467248908296942,0.5180995475113123
0.017467248908296942,0.5226244343891403
0.017467248908296942,0.5407239819004525
0.017467248908296942,0.5497737556561086
0.017467248908296942,0.581447963800905
0.017467248908296942,0.5859728506787331
0.017467248908296942,0.5927601809954751
0.019650655021834062,0.5950226244343891
0.019650655021834062,0.5995475113122172
0.019650655021834062,0.6063348416289592
0.019650655021834062,0.6153846153846154
0.019650655021834062,0.6221719457013575
0.021834061135371178,0.6266968325791855
0.024017467248908297,0.6266968325791855
0.024017467248908297,0.6312217194570136
0.024017467248908297,0.6447963800904978
0.026200873362445413,0.6447963800904978
0.026200873362445413,0.6470588235294118
0.028384279475982533,0.6515837104072398
0.028384279475982533,0.6583710407239819
